"Annees" "Mois" "Precipitations"
"1" 1895 1 65.5
"2" 1895 2 4.4
"3" 1895 3 58.4
"4" 1895 4 29.2
"5" 1895 5 45.2
"6" 1895 6 15.1
"7" 1895 7 99.2
"8" 1895 8 116.9
"9" 1895 9 0.9
"10" 1895 10 115.1
"11" 1895 11 65.5
"12" 1895 12 108
"13" 1896 1 17.7
"14" 1896 2 8.9
"15" 1896 3 52.2
"16" 1896 4 24.8
"17" 1896 5 7.1
"18" 1896 6 33.6
"19" 1896 7 19.5
"20" 1896 8 39.8
"21" 1896 9 91.2
"22" 1896 10 130.2
"23" 1896 11 39
"24" 1896 12 47.8
"25" 1897 1 21.3
"26" 1897 2 63.8
"27" 1897 3 48.7
"28" 1897 4 67.3
"29" 1897 5 33.6
"30" 1897 6 89.4
"31" 1897 7 21.3
"32" 1897 8 90.3
"33" 1897 9 61.1
"34" 1897 10 14.2
"35" 1897 11 21.3
"36" 1897 12 64.6
"37" 1898 1 14.2
"38" 1898 2 53.1
"39" 1898 3 39.8
"40" 1898 4 24.8
"41" 1898 5 65.5
"42" 1898 6 100.1
"43" 1898 7 16.8
"44" 1898 8 31
"45" 1898 9 10.6
"46" 1898 10 44.3
"47" 1898 11 62
"48" 1898 12 46
"49" 1899 1 73.5
"50" 1899 2 23.9
"51" 1899 3 15.1
"52" 1899 4 68.2
"53" 1899 5 39.8
"54" 1899 6 38.1
"55" 1899 7 61.1
"56" 1899 8 19.5
"57" 1899 9 73.5
"58" 1899 10 28.3
"59" 1899 11 33.6
"60" 1899 12 54.9
"61" 1900 1 71.1
"62" 1900 2 66.4
"63" 1900 3 19.4
"64" 1900 4 55
"65" 1900 5 47.6
"66" 1900 6 35.4
"67" 1900 7 81.5
"68" 1900 8 63.7
"69" 1900 9 22.1
"70" 1900 10 58.6
"71" 1900 11 54.9
"72" 1900 12 95.5
"73" 1901 1 21
"74" 1901 2 19.1
"75" 1901 3 35.4
"76" 1901 4 27.5
"77" 1901 5 21.9
"78" 1901 6 32.1
"79" 1901 7 28.2
"80" 1901 8 29.1
"81" 1901 9 38.2
"82" 1901 10 64.5
"83" 1901 11 22.6
"84" 1901 12 45.1
"85" 1902 1 27
"86" 1902 2 21.2
"87" 1902 3 36.2
"88" 1902 4 30.8
"89" 1902 5 76.7
"90" 1902 6 50.4
"91" 1902 7 54
"92" 1902 8 79.3
"93" 1902 9 36.8
"94" 1902 10 57.2
"95" 1902 11 21.2
"96" 1902 12 52.7
"97" 1903 1 45
"98" 1903 2 23.5
"99" 1903 3 42.7
"100" 1903 4 82.6
"101" 1903 5 41.5
"102" 1903 6 36.7
"103" 1903 7 125
"104" 1903 8 36.3
"105" 1903 9 34.5
"106" 1903 10 130.2
"107" 1903 11 66.4
"108" 1903 12 31.5
"109" 1904 1 49.4
"110" 1904 2 70
"111" 1904 3 56.6
"112" 1904 4 13.7
"113" 1904 5 43.1
"114" 1904 6 41.9
"115" 1904 7 39.1
"116" 1904 8 35
"117" 1904 9 45.6
"118" 1904 10 43.9
"119" 1904 11 71.5
"120" 1904 12 65.6
"121" 1905 1 31
"122" 1905 2 31
"123" 1905 3 89.9
"124" 1905 4 32.9
"125" 1905 5 56
"126" 1905 6 66.3
"127" 1905 7 57.8
"128" 1905 8 113.4
"129" 1905 9 50.3
"130" 1905 10 43.4
"131" 1905 11 56.1
"132" 1905 12 23.6
"133" 1906 1 30.7
"134" 1906 2 46.9
"135" 1906 3 68.2
"136" 1906 4 41.6
"137" 1906 5 100.9
"138" 1906 6 22.1
"139" 1906 7 19.5
"140" 1906 8 49.6
"141" 1906 9 33.6
"142" 1906 10 47.8
"143" 1906 11 62
"144" 1906 12 74.4
"145" 1907 1 33.6
"146" 1907 2 31
"147" 1907 3 22.1
"148" 1907 4 58.4
"149" 1907 5 41.6
"150" 1907 6 50.5
"151" 1907 7 39
"152" 1907 8 41.6
"153" 1907 9 10.6
"154" 1907 10 56.7
"155" 1907 11 27.5
"156" 1907 12 56.7
"157" 1908 1 34.5
"158" 1908 2 54
"159" 1908 3 44.3
"160" 1908 4 34.5
"161" 1908 5 25.7
"162" 1908 6 31.9
"163" 1908 7 41.6
"164" 1908 8 64.6
"165" 1908 9 59.3
"166" 1908 10 20.4
"167" 1908 11 50.5
"168" 1908 12 49.6
"169" 1909 1 28.3
"170" 1909 2 8
"171" 1909 3 61.1
"172" 1909 4 43.4
"173" 1909 5 42.5
"174" 1909 6 51.4
"175" 1909 7 71.7
"176" 1909 8 48.7
"177" 1909 9 61.1
"178" 1909 10 108
"179" 1909 11 17.7
"180" 1909 12 74.4
"181" 1910 1 69.1
"182" 1910 2 79.7
"183" 1910 3 38.6
"184" 1910 4 54.6
"185" 1910 5 97.4
"186" 1910 6 28.9
"187" 1910 7 118.7
"188" 1910 8 36.2
"189" 1910 9 43.7
"190" 1910 10 50.3
"191" 1910 11 121.6
"192" 1910 12 64.1
"193" 1911 1 33.6
"194" 1911 2 21.9
"195" 1911 3 58.3
"196" 1911 4 33.5
"197" 1911 5 25.8
"198" 1911 6 36.8
"199" 1911 7 40.1
"200" 1911 8 15.2
"201" 1911 9 32.9
"202" 1911 10 118
"203" 1911 11 68.5
"204" 1911 12 84.6
"205" 1912 1 51.3
"206" 1912 2 36
"207" 1912 3 80.9
"208" 1912 4 11.3
"209" 1912 5 31.5
"210" 1912 6 68.2
"211" 1912 7 66.3
"212" 1912 8 108.1
"213" 1912 9 50.7
"214" 1912 10 91.3
"215" 1912 11 80.1
"216" 1912 12 53.8
"217" 1913 1 64.1
"218" 1913 2 14.2
"219" 1913 3 76.7
"220" 1913 4 69.4
"221" 1913 5 49.4
"222" 1913 6 50.1
"223" 1913 7 58.3
"224" 1913 8 96
"225" 1913 9 36.4
"226" 1913 10 33.2
"227" 1913 11 52.7
"228" 1913 12 37.8
"229" 1914 1 20.6
"230" 1914 2 34.9
"231" 1914 3 87.4
"232" 1914 4 39.4
"233" 1914 5 44.2
"234" 1914 6 50.1
"235" 1914 7 129.4
"236" 1914 8 92.5
"237" 1914 9 45.3
"238" 1914 10 25.3
"239" 1914 11 44.7
"240" 1914 12 93.3
"241" 1915 1 61.9
"242" 1915 2 41.8
"243" 1915 3 24.8
"244" 1915 4 35
"245" 1915 5 53
"246" 1915 6 40.9
"247" 1915 7 63.7
"248" 1915 8 35.7
"249" 1915 9 82.1
"250" 1915 10 32.4
"251" 1915 11 77.4
"252" 1915 12 111.2
"253" 1916 1 30
"254" 1916 2 71.4
"255" 1916 3 72.9
"256" 1916 4 52.1
"257" 1916 5 38.2
"258" 1916 6 74.6
"259" 1916 7 43.7
"260" 1916 8 71.3
"261" 1916 9 37.9
"262" 1916 10 97.8
"263" 1916 11 60.1
"264" 1916 12 79.3
"265" 1917 1 56.5
"266" 1917 2 8.7
"267" 1917 3 37.7
"268" 1917 4 67.7
"269" 1917 5 59.3
"270" 1917 6 101
"271" 1917 7 59.7
"272" 1917 8 87
"273" 1917 9 19.5
"274" 1917 10 106.6
"275" 1917 11 47.7
"276" 1917 12 40.4
"277" 1918 1 43.5
"278" 1918 2 12.1
"279" 1918 3 28.5
"280" 1918 4 35
"281" 1918 5 38.9
"282" 1918 6 20
"283" 1918 7 128.8
"284" 1918 8 42.2
"285" 1918 9 84.3
"286" 1918 10 24
"287" 1918 11 67.3
"288" 1918 12 74.6
"289" 1919 1 47.6
"290" 1919 2 70
"291" 1919 3 77.9
"292" 1919 4 60.7
"293" 1919 5 9.8
"294" 1919 6 4.8
"295" 1919 7 96.3
"296" 1919 8 27.1
"297" 1919 9 24
"298" 1919 10 32.3
"299" 1919 11 75.9
"300" 1919 12 107.8
"301" 1920 1 71.7
"302" 1920 2 10.1
"303" 1920 3 21.8
"304" 1920 4 65.3
"305" 1920 5 43.9
"306" 1920 6 63.3
"307" 1920 7 66.8
"308" 1920 8 32.1
"309" 1920 9 25.2
"310" 1920 10 53
"311" 1920 11 14.9
"312" 1920 12 49
"313" 1921 1 33.4
"314" 1921 2 11.7
"315" 1921 3 45
"316" 1921 4 24.1
"317" 1921 5 45.1
"318" 1921 6 1.6
"319" 1921 7 3.4
"320" 1921 8 68.2
"321" 1921 9 18
"322" 1921 10 18.6
"323" 1921 11 55
"324" 1921 12 32.1
"325" 1922 1 95.4
"326" 1922 2 34.9
"327" 1922 3 77
"328" 1922 4 64.2
"329" 1922 5 5.6
"330" 1922 6 38.2
"331" 1922 7 56.3
"332" 1922 8 44.3
"333" 1922 9 78.8
"334" 1922 10 38.1
"335" 1922 11 63.2
"336" 1922 12 41.9
"337" 1923 1 45.3
"338" 1923 2 66.3
"339" 1923 3 38.3
"340" 1923 4 11.8
"341" 1923 5 99.3
"342" 1923 6 33.4
"343" 1923 7 61.7
"344" 1923 8 68.6
"345" 1923 9 60.4
"346" 1923 10 160.5
"347" 1923 11 52
"348" 1923 12 80.5
"349" 1924 1 38.4
"350" 1924 2 33.9
"351" 1924 3 39.6
"352" 1924 4 47.6
"353" 1924 5 44.1
"354" 1924 6 78.3
"355" 1924 7 47
"356" 1924 8 63.6
"357" 1924 9 48.3
"358" 1924 10 99.9
"359" 1924 11 35.4
"360" 1924 12 47.2
"361" 1925 1 55.9
"362" 1925 2 50.3
"363" 1925 3 31.8
"364" 1925 4 74.5
"365" 1925 5 56.7
"366" 1925 6 26.6
"367" 1925 7 64.6
"368" 1925 8 77.9
"369" 1925 9 81.5
"370" 1925 10 38.2
"371" 1925 11 81.5
"372" 1925 12 97.6
"373" 1926 1 48.7
"374" 1926 2 44.5
"375" 1926 3 21.3
"376" 1926 4 38.1
"377" 1926 5 54
"378" 1926 6 67.3
"379" 1926 7 80.6
"380" 1926 8 46
"381" 1926 9 33.6
"382" 1926 10 93
"383" 1926 11 59.3
"384" 1926 12 17.7
"385" 1927 1 57.8
"386" 1927 2 46
"387" 1927 3 56.7
"388" 1927 4 36.3
"389" 1927 5 30.1
"390" 1927 6 46
"391" 1927 7 102.9
"392" 1927 8 70.7
"393" 1927 9 91.7
"394" 1927 10 17.5
"395" 1927 11 71.1
"396" 1927 12 77
"397" 1928 1 67.7
"398" 1928 2 39.8
"399" 1928 3 43.6
"400" 1928 4 69.1
"401" 1928 5 54.9
"402" 1928 6 62
"403" 1928 7 58.3
"404" 1928 8 66.9
"405" 1928 9 28.3
"406" 1928 10 57.9
"407" 1928 11 123.6
"408" 1928 12 55.6
"409" 1929 1 21.5
"410" 1929 2 28.2
"411" 1929 3 6.4
"412" 1929 4 44.5
"413" 1929 5 13.1
